Handle,REF,Nombre,Categoria,Descripción,Vendido por peso,Opción 1 nombre,Opción 1 valor,Opción 2 nombre,Opción 2 valor,Opción 3 nombre,Opción 3 valor,Coste,Codigo de barras,REF del componente,Cantidad del componente,Seguir el Inventario,Usar prodcucción,Proveedor,Costo de compra,Disponibles para la venta [Obrador Roig],Precio [Obrador Roig],En inventario [Obrador Roig],Existencias bajas [Obrador Roig],Stock óptimo [Obrador Roig],"impuesto - ""IVA 4%"" (4%)","impuesto - ""IVA 10%"" (10%)"
pagés-1kg,10205,1 kg Pagès/Valls,pa,,N,,,,,,,0.00,,,,N,,,,Y,3.90,,,,Y,N
braç-gitano-senyera-mitjà,10053,1/2 braç gitano senyera,Diada,,N,,,,,,,0.00,,,,N,,,,Y,9.95,,,,N,Y
pagés-1/2,10201,1/2 Pagès/Valls,pa,,N,,,,,,,0.00,,,,N,,,,Y,2.40,,,,Y,N
valls-1/2-espelta,10279,1/2 Pagès/Valls espelta,pa especialitat,,N,,,,,,,0.00,,,,N,,,,Y,3.60,,,,Y,N
12/15-coca-brioix,10009,12/15 coca brioix,coca SR,,N,,,,,,,0.00,,,,N,,,,Y,24.50,,,,N,Y
coca-brioix-crema-i-nata-12/15-r.,10074,12/15 r. Coca brioix cr. cr. + nata,coca SR,,N,,,,,,,0.00,,,,N,,,,Y,30.50,,,,N,Y
coca-brioix-crema/xoco/cabell-d'àngel-12/15-r.,10076,12/15 r. Coca brioix farcida,coca SR,,N,,,,,,,0.00,,,,N,,,,Y,28.50,,,,N,Y
coca-brioix-pinyó-24/30-racions,10079,24/30 r. Coca brioix,coca SR,,N,,,,,,,0.00,,,,N,,,,Y,37.00,,,,N,Y
coca-brioix-crema-i-nata-24/30-r.,10075,24/30 r. Coca brioix cr. cr. + nata,coca SR,,N,,,,,,,0.00,,,,N,,,,Y,49.50,,,,N,Y
coca-brioix-crema/xoco/cabell-d'àngel-24/30-r.,10077,24/30 r. Coca brioix farcida,coca SR,,N,,,,,,,0.00,,,,N,,,,Y,45.00,,,,N,Y
especialitat-5-cereals,10139,5 cereals,pa especialitat,,N,,,,,,,0.00,,,,N,,,,Y,2.50,,,,Y,N
affogato,10260,Affogato,DZ,,N,,,,,,,0.00,,,,N,,,,Y,3.50,,,,N,Y
aigua-mineral,10013,Aigua mineral,beguda,,N,,,,,,,0.00,,,,N,,,,Y,1.50,,,,N,Y
altres,10015,Altres,DZ,,N,,,,,,,0.00,,,,N,,,,Y,variable,,,,Y,N
ampolles-cava-nadal,10501,Ampolles cava Nadal 20 gr,Nadal,,N,,,,,,,0.00,,,,N,,,,Y,1.95,,,,N,Y
ampolla-cava-8-gr,10136,Ampolles cava Nadal 8 gr,Nadal,,N,,,,,,,0.00,,,,N,,,,Y,0.85,,,,N,Y
especialitat-antic-barra,10002,Antic barra,pa especialitat,,N,,,,,,,0.00,,,,N,,,,Y,2.25,,,,Y,N
artesana-1/4,10019,Artesana 1/4,pa,,N,,,,,,,0.00,,,,N,,,,Y,1.40,,,,Y,N
avió,10428,Avió,Quaresma SR,,N,,,,,,,0.00,,,,N,,,,Y,8.00,,,,N,Y
b-st-jordi,10169,B St Jordi,DZ,,N,,,,,,,0.00,,,,N,,,,Y,2.20,,,,N,Y
banda-de-poma-individual,10021,Banda de poma individual,pa,,N,,,,,,,0.00,,,,N,,,,Y,2.85,,,,N,Y
banda-de-primavera,10022,Banda de primavera,brioixeria SR,,N,,,,,,,0.00,,,,N,,,,Y,24.95,,,,N,Y
barra-1/2,10025,Barra 1/2,pa,,N,,,,,,,0.00,,,,N,,,,Y,1.65,,,,Y,N
barra-1/4-espelta,10336,Barra 1/4 espelta,pa especialitat,,N,,,,,,,0.00,,,,N,,,,Y,2.10,,,,Y,N
barra-1/4-integral,10026,Barra 1/4 integral,pa,,N,,,,,,,0.00,,,,N,,,,Y,1.25,,,,Y,N
barra-de-1/4,10000,Barra de 1/4,pa,,N,,,,,,,0.00,,,,N,,,,Y,1.20,,,,Y,N
multicereals,10041,Barra multicereals,pa especialitat,,N,,,,,,,0.00,,,,N,,,,Y,1.65,,,,Y,N
barrita-energètica,10046,Barreta Energètica,Ludomar,,N,,,,,,,0.00,,,,N,,,,N,2.40,,,,N,Y
barreta-integral-petita,10028,Barreta integral petita,pa,,N,,,,,,,0.00,,,,N,,,,Y,0.85,,,,Y,N
barreta-laxant,10029,Barreta laxant,pa especialitat,,N,,,,,,,0.00,,,,N,,,,Y,0.95,,,,Y,N
barreta-sense-gluten-100g,10086,Barreta sense gluten 100g,Sense gluten,,N,,,,,,,0.00,,,,N,,,,Y,1.50,,,,Y,N
base-taronja-xoco-mona-pasqua,10166,Base verda xoco mona Pasqua,Pasqua,,N,,,,,,,0.00,,,,N,,,,Y,20.00,,,,N,Y
basto-sant-antoni,10017,Basto Sant Antoni,pa,,N,,,,,,,0.00,,,,N,,,,Y,1.60,,,,Y,N
grissinis-palitos-oli-d'oliva,10456,Bastonets Oli d'Oliva / integral,DZ,,N,,,,,,,0.00,,,,N,,,,Y,1.95,,,,N,Y
bastonets-xoco-nadal,10135,Bastonets xoco Nadal,Nadal,,N,,,,,,,0.00,,,,N,,,,Y,1.50,,,,N,Y
bastons-carmel-nadal,10286,Bastons Carmel Nadal Candy,DZ,,N,,,,,,,0.00,,,,N,,,,Y,1.00,,,,N,Y
berlina,10003,Berlina G.,brioixeria SR,,N,,,,,,,0.00,,,,N,,,,Y,2.00,,,,N,Y
berlina-xoco-blanc,10012,Berlina G. blanca,brioixeria SR,,N,,,,,,,0.00,,,,N,,,,Y,2.00,,,,N,Y
berlina-xoco,10011,Berlina G. negre,brioixeria SR,,N,,,,,,,0.00,,,,N,,,,Y,2.00,,,,N,Y
berlina-mini,10031,Berlina mini,brioixeria SR,,N,,,,,,,0.00,,,,N,,,,Y,0.85,,,,N,Y
berlina-mini-xoco-blanc,10032,Berlina mini blanca,brioixeria SR,,N,,,,,,,0.00,,,,N,,,,Y,0.90,,,,N,Y
berlina-mini-xoco-negre,10033,Berlina mini negre,brioixeria SR,,N,,,,,,,0.00,,,,N,,,,Y,0.90,,,,N,Y
berlina-sant-jordi,10184,Berlina sant jordi,brioixeria SR,,N,,,,,,,2.10,,,,N,,,,Y,2.10,,,,Y,Y
beter-kas,10176,Beter kas,beguda,,N,,,,,,,2.00,,,,N,,,,Y,2.00,,,,Y,Y
bikini,10034,Bikini,entrepà,,N,,,,,,,0.00,,,,N,,,,Y,2.80,,,,N,Y
bismark,10038,Bismark,pastisseria SR,,N,,,,,,,0.00,,,,N,,,,Y,19.95,,,,N,Y
bola-avellana-3-xocos,10105,Bola avellana 3 xocos,Ludomar,,N,,,,,,,0.00,,,,N,,,,Y,0.40,,,,N,Y
boniatos-moniato,10097,Boniatos Moniato,pa especialitat,,Y,,,,,,,0.00,,,,N,,,,Y,12.50,,,,N,Y
bossa,10039,Bossa,Packaging,,N,,,,,,,0.00,,,,N,,,,Y,0.20,,,,N,Y
bossa-5u-chipa,10216,Bossa 5u chipa,,,N,,,,,,,5.00,,,,N,,,,Y,5.00,,,,Y,Y
bossa-granel-cafè,10390,Bossa Eco Kg granel cafè,Novell,,Y,,,,,,,0.00,,,,N,,,,Y,32.50,,,,N,Y
bossa-xocolata-80-gr,10102,Bossa pack xocolata 80 gr,Ludomar,"<p>Avellana, ametlla</p><p>Catanies lacasitos grageas suissa bola</p>",N,,,,,,,0.00,,,,N,,,,Y,9.50,,,,N,Y
braç-gitano-de-crocant-nata,10051,Braç de gitano,pastisseria SR,,N,,,,,,,0.00,,,,N,,,,Y,21.50,,,,N,Y
braç-de-gitano-farcit-crema,10050,Braç de gitano farcit crema,brioixeria SR,,N,,,,,,,0.00,,,,N,,,,Y,23.50,,,,N,Y
bunyols-d'anís-kg,10060,Bunyols eur / kg,Quaresma SR,,Y,,,,,,,0.00,,,,N,,,,Y,32.00,,,,N,Y
cafè-amb-llet,10007,Cafè amb llet,cafè,,N,,,,,,,0.00,,,,N,,,,Y,1.70,,,,N,Y
cafè-americà,10063,Cafè americà,cafè,,N,,,,,,,0.00,,,,N,,,,Y,1.70,,,,N,Y
cafè-doble,10298,Cafè doble,cafè,,N,,,,,,,0.00,,,,N,,,,Y,1.70,,,,N,Y
cafè-sol,10004,Cafè sol,cafè,,N,,,,,,,0.00,,,,N,,,,Y,1.50,,,,N,Y
bombó-estoig-nuestra-tierra-12u,10382,Caixa Bombó Estoig 12u,Ludomar,,N,,,,,,,0.00,,,,N,,,,Y,9.50,,,,N,Y
caixa-gran,10359,Caixa gran,Packaging,,N,,,,,,,0.00,,,,N,,,,Y,1.20,,,,N,Y
caixa-kraft,10356,Caixa kraft,Packaging,,N,,,,,,,0.00,,,,N,,,,Y,0.60,,,,N,Y
caixa-mitjana,10358,Caixa mitjana,Packaging,,N,,,,,,,0.00,,,,N,,,,Y,1.00,,,,N,Y
